Index,Index1,Comments
683,15947,"Nossa
"
684,15951,I love you hhahah
685,15952,YOU ARE SO FUKIN CUTE 
686,15955,U R SO PRETTY!!!
687,15978,respect !
688,15996,"
skincarEkit.info"
689,16004,YOU LOOK LIKE LIAM NEESON’S DAUGHTER IN TAKEN. 
690,16021,"very brave!!!! video
"
691,16056,Thank you! &lt;3
692,16113,WtF...
693,16171,awww :)
694,16183,Sorry
695,16233,Hi
696,16234,Thank you lovely!! &lt;3
697,16257,your eyes &gt;&gt;&gt;&gt;&gt;
698,16278,be proactive :D
699,16286,@kelless88
700,16288,*for
701,16365,I love your eyes!
702,16366,Nice house xd
703,16378,Ur sweet
704,16409,Pure transformation...
705,16425,Your
706,16438,Great video I like your make up
707,16441,OMG !!!
708,16451,Try proactive
709,16487,THANK YOU FOR SUBCRIBE  :)
710,16518,use madecassol cream
711,16520,Love it
712,16555,You&#39;re gorgeous girl! Wo
713,16580,Ummm.. Your eyebrow..
714,16585,That&#39;s mean
715,16588,Have you tried Solodyn?
716,16685,Mind=Blown
717,16701,YOU ARE SOOO PRETTY WITH OR WITHOUT MAKE UP
718,16703,"cool
"
719,16729,"Great Video!!
"
720,16733,Cool
721,16759,Love u
722,16782,Are you using just MAC??? (products)
723,16789,Wow
724,16816,YOUR EYES ARE LIKE THE FREAKING MOST BEAUTIFUL THINGS I&#39;VE EVER SEEN.
725,16820,"beat acne
SkinCareKit.info"
726,16851,dude.... chill......
727,16873,YOU NEED TO VISIT acne.org IT WORKS WONDERS! 
728,16892,Thanks I love it!
729,16895,You speak so fast!
730,16903,marry me
731,16971,troll.
732,16986,You&#39;re cute
733,16998,why?
734,17002,POWDER GIRL!
735,17017,BAKA
736,17046,cc
737,17049,So brave :)
738,17059,respect 
739,17113,WOW! I&#39;m your fan &lt;3 :3
740,17135,Paint bucket !
741,17150,"ACNE.ORG
SAVE UR LIFE"
742,17161,Ur gorgeous
743,17186,Champ
744,17207,R E S P E C T!
745,17213,GO TO THE FU**** BEACH !!!!
746,17248,"does it hurt?
"
747,17251,"you&#39;re so brave girl
"
748,17261,U&#39;re Brave
749,17296,i &lt;3 makeup
750,17346,HELLO
751,17360,Ihhhhh
752,17363,great 
753,17367,*so
754,17377,So brave &lt;3 you&#39;re gorgeous
755,17396,"i like your brave!!
"
756,17422,&lt;333
757,17424,"WITH EYES LIKE THAT YOU DON&#39;T NEED ANYTHING, YOU&#39;RE SO BEATIFUL!!"
758,17443,Sad ..
759,17454,"SHES WAY PRETTIER WITHOUT MAKE UP...ITS MORE NATURAL AND WHEN SHES OLDER,THAT MAKE UP&#39;S GONNA RUIN HER FACE"
760,17461,wowwwwww
761,17469,rude! 
762,17474,omg
763,17478,are you?
764,17505,salute!
765,17526,Your gorgeous! 
766,17544,You&#39;re inspiring.
767,17552,acnetreatmenthome
768,17560,She&#39;s so brave. I respect you so much.
769,17595,acne.org
770,17639,"ur mean
"
771,17645,You&#39;re fake.
772,17647,Your beauy
773,17657,You look like t swiftly
774,17659,"I like your eyes! ;)
"
775,17673,great video
776,17687,*World*
777,17731,Your gorgeous
778,17811,Yes.
779,17879,Brave = respect
780,17900,*Seen
781,17905,:)
782,17921,OMG!! &lt;3
783,17929,Aha
784,17963,"i like it .
"
785,18004,*it
786,18014,Ur brave :)
787,18072,I love your eyes:)
788,18078,Plastic*
789,18080,why
790,18093,"gorgeous
"
791,18123,You&#39;re so brave. :)
792,18125,&quot;Lol&quot; at your immaturity.
793,18133,:)
794,18175,OMG ..
795,18192,I SWEAR YOU ARE AMAZING. 
796,18195,"respect!
"
797,18216,Thankyou so much love you
798,18228,respect
799,18231,Thank you. SO SO much
800,18262,Makeup*
801,18267,You&#39;re so cute!
802,18273,Great video!
803,18308,Bingo!
804,18323,Gorgeous.
805,18324,"Yes, a hot ass mess."
806,18334,good:-)
807,18342,Nice
808,18365,you&#39;re so PRETTY!!! :)
809,18376,Great video!
810,18393,LIK DIS IF U CRY EVERTIM
811,18397,Bitch looks like Darth Maul
812,18399,"aware
"
813,18540,:)
814,18541,wow
815,18589,STAY STRONG.
816,18606,OMG TRY ACNE.ORG REGIMEN WORKS FREAKIN WONDERS!!!!
817,18620,Thank u! :)
818,18635,DON&#39;T FEEL INSECURE! EVERYBODY IS BEAUTIFUL IN THEIR OWN WAY! 
819,18636,My God. It&#39;s like magic
820,18665,omh :((
821,18667,You.. Are my new hero!
822,18670,"you helped me!!!!
"
823,18680,"Omfg,i love your eyes !! "
824,18686,"I love your eyes
"
825,18688,omg
826,18692,Perfect
827,18706,Thanks for sharing
828,18837,fuck you
829,18860,Thanks for your video... U r good
830,18879,YOU ARE A DAMN BRAVE WOMAN!!!!!!
